"cohort_month","cohort_customers","month_number","returning_customers","retention_pct"
"2017-01",717,0,717,100.0
"2017-01",717,1,2,0.3
"2017-01",717,2,2,0.3
"2017-01",717,3,1,0.1
"2017-01",717,4,3,0.4
"2017-01",717,5,1,0.1
"2017-01",717,6,3,0.4
"2017-02",1628,0,1628,100.0
"2017-02",1628,1,3,0.2
"2017-02",1628,2,5,0.3
"2017-02",1628,3,2,0.1
"2017-02",1628,4,7,0.4
"2017-02",1628,5,2,0.1
"2017-02",1628,6,4,0.2
"2017-03",2503,0,2503,100.0
"2017-03",2503,1,11,0.4
"2017-03",2503,2,9,0.4
"2017-03",2503,3,10,0.4
"2017-03",2503,4,9,0.4
"2017-03",2503,5,4,0.2
"2017-03",2503,6,4,0.2
"2017-04",2256,0,2256,100.0
"2017-04",2256,1,14,0.6
"2017-04",2256,2,5,0.2
"2017-04",2256,3,4,0.2
"2017-04",2256,4,6,0.3
"2017-04",2256,5,6,0.3
"2017-04",2256,6,8,0.4
"2017-05",3451,0,3451,100.0
"2017-05",3451,1,16,0.5
"2017-05",3451,2,16,0.5
"2017-05",3451,3,10,0.3
"2017-05",3451,4,10,0.3
"2017-05",3451,5,11,0.3
"2017-05",3451,6,14,0.4
"2017-06",3037,0,3037,100.0
"2017-06",3037,1,15,0.5
"2017-06",3037,2,12,0.4
"2017-06",3037,3,13,0.4
"2017-06",3037,4,9,0.3
"2017-06",3037,5,12,0.4
"2017-06",3037,6,11,0.4
