"customer_state","total_orders","avg_delivery_days","late_orders","late_percentage","avg_review_score"
"AL",401,24.5,96,23.94,3.84
"MA",721,21.5,141,19.56,3.84
"PI",477,19.4,76,15.93,4.00
"CE",1282,21.2,197,15.37,3.94
"SE",335,21.5,51,15.22,3.91
"BA",3273,19.3,461,14.08,3.93
"RJ",12420,15.2,1674,13.48,3.96
"TO",274,17.6,35,12.77,4.15
"PA",952,23.7,117,12.29,3.91
"ES",2004,15.7,245,12.23,4.08
"RR",41,29.3,5,12.20,3.90
"MS",712,15.6,82,11.52,4.17
"PB",518,20.4,57,11.00,4.08
"PE",1604,18.4,172,10.72,4.09
"RN",476,19.2,51,10.71,4.15
"SC",3560,14.9,348,9.78,4.13
"GO",1974,15.5,162,8.21,4.10
"RS",5381,15.3,386,7.17,4.19
"DF",2099,12.9,149,7.10,4.13
"MT",889,18.0,60,6.75,4.15
"SP",40705,8.7,2393,5.88,4.25
"MG",11423,11.9,640,5.60,4.19
"PR",4942,11.9,248,5.02,4.24
"AP",67,27.2,3,4.48,4.24
"AM",146,26.3,6,4.11,4.22
"AC",80,21.0,3,3.75,4.09
"RO",243,19.3,7,2.88,4.17
